Project_Name,Sample_Name,Sample_ID,Extracted_DNA_ng/ul,PCR_Run_ID,DNA_plate_ID,DNA_Well_Position,"ul extracted DNA in PCR",Dilution_from_Original,PCR_Well_Position,ngDNA_PCR,Polymerase,DNA_index_ID_forward,DNA_index_ID_reverse,PCR_Notes,PCR_concentration,Sequenced?,Sequencing_Run_ID,SummedReads
LISS,GR011M,GR011M,19.5,RID001390,LISSplate1,C07,2,1,B04,39,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA704,,0,yes,SID2413,45988
LISS,GR012M,GR012M,2.6,RID001390,LISSplate1,C08,6,1,E04,15.6,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA704,,0,yes,SID2413,8219
LISS,GR012M,GR012M,2.6,RID001390,LISSplate1,C08,6,1,E04,15.6,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA704,,0,yes,SID2419,8219
LISS,GR012M,GR012M,2.6,RID001409,LISSplate1,C08,6,1,D01,15.6,"GoTaq Polymerase",EMP.v4.SB504,EMP.v4.SB708,,0,yes,SID2421,8219
LISS,GR013M,GR013M,47.3,RID001390,LISSplate1,C09,1,1,H04,47.3,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA704,,0,yes,SID2413,11688
LISS,GR014M,GR014M,35.4,RID001390,LISSplate1,C10,1,1,C05,35.4,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA705,,0.5,yes,SID2413,148382
LISS,GR015M,GR015M,25.5,RID001390,LISSplate1,C11,1,1,F05,25.5,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA705,,0,yes,SID2413,10158
LISS,GR015M,GR015M,25.5,RID001390,LISSplate1,C11,1,1,F05,25.5,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA705,,0,yes,SID2419,10158
LISS,GR015M,GR015M,25.5,RID001409,LISSplate1,C11,6,1,E01,153,"GoTaq Polymerase",EMP.v4.SB505,EMP.v4.SB708,,0,yes,SID2421,10158
LISS,GR016M,GR016M,31.8,RID001390,LISSplate1,C12,1,1,A06,31.8,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA706,,0.09,yes,SID2413,66640
LISS,GR017M,GR017M,35.1,RID001390,LISSplate1,D01,1,1,D01,35.1,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA701,,0,yes,SID2413,55365
LISS,GR018M,GR018M,20.7,RID001390,LISSplate1,D02,1,1,H01,20.7,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA701,,0,yes,SID2413,33879
LISS,GR019M,GR019M,14.3,RID001390,LISSplate1,D03,2,1,D02,28.6,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA702,,0,yes,SID2413,26572
LISS,GR020M,GR020M,20.3,RID001390,LISSplate1,D04,2,1,H02,40.6,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA702,,0,yes,SID2413,29120
LISS,lissNTCplate1,lissNTCplate1,0.2,RID001390,LISSplate1,D05,6,1,D03,1.2,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA703,,0,yes,SID2413,3397
LISS,lissNTCplate1,lissNTCplate1,0.2,RID001390,LISSplate1,D05,6,1,D03,1.2,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA703,,0,yes,SID2419,3397
LISS,lissNTCplate2,lissNTCplate2,3.5,RID001390,LISSplate2,D05,6,1,E08,21,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA708,,0,yes,SID2413,12558
LISS,lissNTCplate2,lissNTCplate2,3.5,RID001390,LISSplate2,D05,6,1,E08,21,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA708,,0,yes,SID2419,12558
LISS,ST001M,ST001M,5.7,RID001390,LISSplate2,B09,5,1,H09,28.5,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA709,,0,yes,SID2413,8102
LISS,ST001M,ST001M,5.7,RID001390,LISSplate2,B09,5,1,H09,28.5,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA709,,0,yes,SID2419,8102
LISS,ST001M,ST001M,5.7,RID001409,LISSplate2,B09,6,1,A02,34.2,"GoTaq Polymerase",EMP.v4.SB501,EMP.v4.SB709,,0.03,yes,SID2421,8102
LISS,ST002M,ST002M,56.4,RID001390,LISSplate2,B10,1,1,C10,56.4,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA710,,0,yes,SID2413,11178
LISS,ST002M,ST002M,56.4,RID001390,LISSplate2,B10,1,1,C10,56.4,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA710,,0,yes,SID2419,11178
LISS,ST003M,ST003M,30.5,RID001390,LISSplate2,B11,1,1,F10,30.5,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA710,,0,yes,SID2413,10771
LISS,ST003M,ST003M,30.5,RID001390,LISSplate2,B11,1,1,F10,30.5,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA710,,0,yes,SID2419,10771
LISS,ST004M,ST004M,21.5,RID001390,LISSplate2,B12,1,1,A11,21.5,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA711,,0,yes,SID2419,14989
LISS,ST004M,ST004M,21.5,RID001390,LISSplate2,B12,1,1,A11,21.5,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA711,,0,yes,SID2413,14989
LISS,ST005M,ST005M,22.7,RID001390,LISSplate2,C01,1,1,D06,22.7,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA706,,0,yes,SID2413,12562
LISS,ST006M,ST006M,20.3,RID001390,LISSplate2,C02,2,1,H06,40.6,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA706,,0.05,yes,SID2413,39468
